O*NET-SOC Code,Title,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Auto label value,Auto probability0,Auto probability1,Auto probability2,Auto probability
11-3051.00,Industrial Production Managers,4.0,4.0,4.0,4.0,3.75,1.12,4.0,4.0,4.0,4.88,3.88,4.0,3.62,3.75,3.62,3.12,3.88,2.88,1.12,2.0,0.0,0.75,3.5,3.12,1.38,2.25,1.62,3.88,4.38,3.88,3.75,4.12,4.0,4.0,4.25,0,0.24718099904686142,0.29223706234006386,0.32274883564531365,0.28738896567741296
11-3051.01,Quality Control Systems Managers,4.0,4.12,3.75,3.75,3.38,2.38,4.12,4.0,3.5,4.12,3.75,3.5,3.25,3.25,3.75,3.25,4.0,2.75,1.38,1.88,0.25,1.5,3.5,2.75,2.38,2.88,2.25,3.88,4.25,3.5,3.5,3.75,2.88,2.75,3.25,0,0.33150603494590314,0.3779568923528416,0.38655191843889725,0.3653382819125473
11-3051.02,Geothermal Production Managers,4.25,3.62,3.75,4.0,3.75,2.5,3.88,3.25,3.38,4.38,3.62,3.62,3.38,3.38,3.5,3.0,3.62,2.38,1.88,2.62,0.0,1.25,3.5,2.88,2.75,3.12,3.0,2.88,3.62,3.62,3.75,3.88,3.75,3.25,3.88,0,0.36808172487928914,0.43844413251831327,0.404531488513868,0.40368578197049015
11-3051.03,Biofuels Production Managers,4.0,3.88,3.5,4.0,3.25,3.5,3.88,3.62,3.5,3.88,3.75,4.0,3.38,3.25,3.62,3.25,3.75,2.0,1.5,0.38,0.0,1.62,3.5,3.38,0.75,2.0,0.12,3.12,3.88,3.5,3.38,3.75,3.12,3.0,3.62,0,0.28770590219039605,0.2725984644104642,0.36143023350371095,0.30724486670152373
11-3051.04,Biomass Power Plant Managers,4.25,3.88,3.75,4.0,3.25,2.5,4.0,3.38,3.12,4.62,3.62,4.0,3.25,2.88,3.5,2.75,3.75,2.12,0.75,2.0,0.0,0.88,3.88,3.0,2.75,3.0,2.75,3.25,3.88,3.75,3.75,3.75,3.62,3.62,4.12,0,0.36868805806528826,0.43111780748947126,0.40540508289035415,0.4017369828150379
11-3051.06,Hydroelectric Production Managers,4.12,4.0,3.88,4.12,3.5,3.25,4.0,3.62,3.75,3.75,3.62,3.75,3.5,3.62,3.88,3.38,3.75,2.0,1.38,1.88,0.38,1.38,3.62,3.25,2.62,3.0,2.75,3.38,3.88,3.38,3.5,3.75,3.38,3.38,3.75,0,0.32143880999569774,0.3937377436334657,0.3776364232261926,0.36427099228511867
11-3061.00,Purchasing Managers,3.75,4.0,4.0,3.88,3.38,0.25,4.0,3.88,3.62,3.88,4.0,3.88,3.88,3.88,3.62,3.62,3.25,2.75,1.12,0.0,0.0,1.12,1.88,0.0,0.0,0.88,0.0,1.88,3.75,3.62,3.62,3.88,3.88,3.75,4.0,0,0.2536118573270869,0.2263369448839967,0.33391593577619005,0.2712882459957579
11-3071.04,Supply Chain Managers,4.0,4.0,4.0,4.0,3.0,0.38,4.0,3.75,3.25,4.12,3.88,4.0,3.62,3.75,3.25,3.12,4.0,2.38,1.38,0.0,0.0,0.88,1.88,0.0,0.0,0.88,0.0,1.62,4.0,3.75,3.88,4.0,3.0,3.75,3.88,0,0.2723949289592156,0.23682648638896353,0.34670556555357734,0.2853089936339188
11-3111.00,Compensation and Benefits Managers,4.0,4.12,4.0,4.0,2.88,0.25,4.0,3.75,3.0,3.38,3.62,3.62,3.25,3.12,3.12,3.12,3.25,3.12,0.75,0.0,0.0,0.62,1.12,0.0,0.0,0.0,0.0,0.75,4.0,3.88,3.88,3.88,3.62,2.0,3.5,0,0.4206875324134671,0.45267926117297463,0.43917291400832426,0.437513235864922
11-3121.00,Human Resources Managers,4.12,4.0,4.0,4.0,3.0,1.0,4.12,4.0,3.75,4.12,4.0,3.88,4.0,4.0,3.88,3.75,3.75,2.0,0.88,0.0,0.0,1.38,0.75,0.25,0.0,0.0,0.0,0.75,4.0,3.62,4.0,4.12,3.62,2.88,4.5,0,0.25699348373683506,0.24835035552865747,0.3295924974609079,0.2783121122421335
11-3131.00,Training and Development Managers,4.0,4.0,4.0,4.75,3.0,0.88,4.0,4.25,5.25,4.25,4.0,4.0,3.88,3.25,4.75,3.62,4.0,2.88,0.75,0.0,0.0,0.75,1.12,0.0,0.0,0.25,0.0,2.12,4.0,3.88,4.0,4.0,3.88,3.0,4.12,0,0.20657147953932053,0.2186739972180476,0.29364154653359265,0.2396290077636536
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.75,3.67,3.59,3.75,2.83,2.88,3.87,3.42,3.13,3.71,3.38,3.63,3.37,3.37,3.21,2.91,3.25,2.42,1.04,1.96,0.08,0.71,3.0,2.75,2.21,2.21,1.88,2.87,3.59,3.21,3.25,3.58,3.21,3.25,3.5,0,0.3902602589434139,0.4043426198262239,0.4301425262056,0.4082484683250793
11-9021.00,Construction Managers,4.12,4.12,3.88,4.12,3.62,1.75,4.12,3.88,3.12,4.25,3.62,4.12,3.75,3.88,3.38,2.88,4.0,3.5,0.75,0.0,0.0,0.5,3.0,1.75,0.0,2.0,0.0,3.12,4.25,3.62,3.88,4.0,4.0,3.88,4.25,0,0.2508146711818995,0.22945316294521945,0.3279486046467355,0.2694054795912848
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.62,4.5,4.38,4.38,3.25,1.38,4.38,4.12,4.62,4.75,4.25,4.12,4.0,3.88,4.12,3.88,4.25,2.38,0.75,0.12,0.0,0.75,0.75,0.12,0.0,0.62,0.0,3.0,4.38,3.88,4.25,4.12,4.0,3.25,4.38,0,0.17821333543463425,0.1891679769704524,0.2693658430359278,0.21224905181367149
11-9033.00,"Education Administrators, Postsecondary",4.62,4.25,4.25,4.25,3.12,0.5,4.25,4.0,4.0,4.25,4.0,4.0,3.75,3.75,4.0,3.88,4.0,0.88,0.75,0.0,0.0,0.5,1.38,0.0,0.0,0.0,0.0,0.5,4.0,3.75,3.75,4.0,3.12,3.5,4.0,0,0.24789478414095356,0.22941790783420402,0.32440868733323214,0.26724045976946326
11-9041.00,Architectural and Engineering Managers,4.38,4.0,4.12,4.0,4.25,2.75,4.25,3.88,3.12,4.0,3.62,4.12,3.75,3.88,3.75,3.25,4.25,2.25,1.75,0.0,0.0,1.12,2.62,1.12,0.12,2.0,0.0,3.12,4.25,3.62,3.25,4.0,3.25,3.0,3.88,0,0.2539423425657219,0.2500655679578472,0.3309339871465795,0.27831396589004953
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.25,3.62,3.88,3.5,3.12,3.0,4.12,3.75,3.25,3.88,3.12,3.38,3.38,3.38,3.25,2.88,3.88,2.25,1.62,2.12,0.38,1.38,3.0,1.75,1.38,1.62,1.25,3.0,3.88,3.5,3.5,3.5,1.88,1.88,3.38,0,0.3990894172969206,0.40594166190737724,0.4328912378269649,0.41264077234375424
11-9051.00,Food Service Managers,3.62,3.5,3.12,3.62,2.88,1.12,3.75,3.75,3.25,3.88,3.75,3.75,3.12,3.5,3.38,3.62,3.0,2.38,0.38,0.88,0.0,0.62,2.25,1.75,1.12,1.5,0.88,2.25,2.88,2.62,2.5,3.75,3.0,3.0,3.75,0,0.3304523298147046,0.2572687406740215,0.4041011068242142,0.33060739243764675
11-9071.00,Gambling Managers,4.0,3.88,3.75,4.0,3.12,0.75,4.0,3.62,3.62,4.12,3.75,4.12,3.75,3.5,3.75,3.75,3.25,2.0,0.38,0.0,0.0,0.62,1.62,0.12,0.0,0.75,0.0,2.38,3.88,3.12,3.38,4.0,3.0,2.25,3.88,0,0.25790771650122224,0.2001281714281049,0.34525017259812785,0.26776202017581835
11-9081.00,Lodging Managers,3.88,4.0,4.0,4.0,2.88,0.0,3.88,3.88,3.62,3.75,3.88,3.75,4.0,4.0,3.75,4.12,3.25,1.0,1.0,0.75,0.0,0.88,2.12,2.0,0.75,1.5,0.75,2.38,3.75,3.0,3.5,3.88,3.5,3.62,4.0,0,0.23190529262149084,0.17748604875475849,0.32583663036069765,0.24507599057898233
11-9111.00,Medical and Health Services Managers,4.12,4.0,4.0,4.0,2.88,3.12,4.0,4.0,3.75,4.0,4.0,4.25,3.5,3.38,3.5,3.5,3.38,3.88,1.12,0.0,0.0,1.0,1.62,0.0,0.0,0.25,0.0,1.38,4.0,3.25,3.5,4.0,4.0,3.62,3.88,0,0.26040075608034385,0.25137881837963505,0.33495737590078534,0.28224565012025477
11-9121.00,Natural Sciences Managers,5.0,4.75,5.0,4.25,4.0,4.88,4.38,4.75,3.88,4.12,3.88,4.0,3.75,3.12,3.88,2.88,4.25,3.88,2.88,0.25,0.0,1.62,2.12,1.5,0.0,1.12,0.0,2.0,4.12,3.88,3.88,4.12,3.62,3.0,4.62,0,0.2603407714082664,0.30364415587678195,0.322574417997032,0.29551978176069343
11-9121.01,Clinical Research Coordinators,4.25,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.38,3.75,3.75,4.12,3.25,3.38,3.0,3.75,3.62,1.12,0.75,0.12,0.0,0.88,1.25,0.12,0.0,0.38,0.0,1.12,3.62,2.88,3.38,3.62,2.25,2.75,3.5,0,0.33304865262192607,0.30817427255078655,0.39266085009796825,0.34462792509022694
11-9121.02,Water Resource Specialists,4.12,4.0,4.0,4.0,3.75,3.25,4.0,3.75,3.25,3.75,3.62,3.25,3.5,3.0,3.25,3.0,4.12,2.62,1.62,0.0,0.0,1.5,3.0,2.0,0.0,1.88,0.0,2.88,3.88,4.0,3.88,3.88,2.62,2.62,3.25,0,0.34492350594683785,0.3202175227902444,0.39401467416706737,0.3530519009680499
11-9131.00,Postmasters and Mail Superintendents,3.88,3.38,3.75,4.0,2.5,0.5,3.88,3.12,3.25,3.62,3.5,3.5,3.5,3.25,3.25,3.12,3.12,2.12,1.12,0.0,0.0,0.88,2.25,1.25,0.0,1.5,0.0,1.88,3.12,3.0,3.0,3.88,2.75,2.75,3.5,0,0.3500082692208366,0.2744104583408671,0.4151883879899856,0.3465357051838964
11-9141.00,"Property, Real Estate, and Community Association Managers",4.0,4.0,4.0,4.0,3.0,0.5,3.88,3.12,3.12,3.12,3.38,3.75,3.5,3.75,3.12,3.0,3.12,1.88,0.25,0.12,0.0,0.5,0.88,0.5,0.0,0.62,0.0,2.0,3.38,2.12,2.12,3.5,3.0,2.88,3.12,0,0.4367368176931308,0.44576922405317987,0.46435362606335673,0.44895322260322246
11-9161.00,Emergency Management Directors,4.25,4.0,4.25,4.25,3.12,1.62,4.38,4.38,3.88,4.38,3.88,4.88,3.88,3.5,3.75,5.0,5.25,3.25,0.62,0.0,0.0,0.62,1.88,1.62,0.0,1.0,0.0,2.62,4.25,4.12,4.0,3.88,2.75,2.88,3.62,0,0.16563435031264362,0.1791812324605644,0.2648003175498843,0.20320530010769744
11-9171.00,Funeral Home Managers,3.75,3.62,3.62,3.88,2.62,0.38,3.62,3.0,3.0,3.62,3.62,3.25,3.62,3.38,3.38,4.0,3.0,0.62,0.75,0.0,0.0,0.75,2.12,1.88,0.0,1.12,0.0,2.0,3.12,2.62,2.62,3.62,2.75,2.75,3.5,0,0.33070749815675526,0.24016214788355228,0.41043838859528137,0.32710267821186295
11-9179.01,Fitness and Wellness Coordinators,3.88,3.75,3.75,4.0,2.62,1.38,3.88,3.5,3.5,3.88,3.75,3.75,3.75,3.38,3.62,3.5,3.12,1.0,1.62,1.38,0.0,0.88,1.75,1.0,0.62,1.25,0.25,1.88,3.38,3.12,3.12,3.38,3.25,3.0,3.38,0,0.29772114131611715,0.23559496886201714,0.37710885938989236,0.3034749898560089
11-9179.02,Spa Managers,3.75,3.5,3.62,4.0,2.88,0.12,4.0,3.88,3.62,4.12,4.0,4.0,3.75,3.38,3.25,3.62,3.12,0.88,1.38,0.5,0.0,0.75,2.0,1.62,0.0,1.62,0.0,2.12,3.25,2.88,3.12,4.0,3.75,3.5,3.88,0,0.24547160707953708,0.18210729261181768,0.34118856444320045,0.2562558213781851
11-9199.01,Regulatory Affairs Managers,4.25,4.0,4.0,4.0,2.88,2.0,4.12,3.88,3.5,4.12,3.88,3.88,3.25,3.12,3.38,3.0,3.38,3.62,0.75,0.0,0.0,0.75,0.88,0.12,0.0,0.0,0.0,0.5,4.0,3.88,3.75,3.62,2.0,1.75,3.62,0,0.38061080940988745,0.39513202367396616,0.41377008262912796,0.3965043052376605
11-9199.02,Compliance Managers,4.12,4.12,4.12,4.12,2.25,0.5,4.25,3.88,3.5,4.62,3.62,3.75,3.75,3.12,3.75,2.88,3.5,1.38,0.75,0.12,0.0,0.88,1.5,0.62,0.0,0.38,0.0,1.88,3.88,3.38,3.38,3.12,1.5,1.38,2.88,0,0.3634421476368175,0.32725727713113884,0.41510186278972583,0.36860042918589403
11-9199.08,Loss Prevention Managers,4.0,4.0,3.88,4.0,2.75,0.0,4.0,3.75,3.25,4.0,3.75,3.62,3.88,3.38,3.88,3.75,3.88,2.25,1.12,0.0,0.0,0.75,2.88,1.75,0.0,1.25,0.0,2.38,4.0,4.0,3.88,3.88,2.12,2.38,4.0,0,0.23990417916849083,0.17007729714555353,0.33262266863505374,0.2475347149830327
11-9199.09,Wind Energy Operations Managers,4.0,4.0,4.0,4.0,3.25,1.12,4.0,3.62,3.12,4.12,4.0,3.88,3.75,3.88,3.62,3.12,3.75,2.25,1.25,2.25,0.0,1.25,3.25,2.5,2.25,2.5,2.12,3.0,3.62,3.25,3.12,3.25,3.62,3.12,4.0,0,0.3295792486706546,0.3568795914192151,0.38383766286111154,0.3567655009836604
11-9199.10,Wind Energy Development Managers,4.25,3.75,3.88,3.75,3.5,1.12,4.25,4.0,2.88,3.88,3.62,3.88,3.75,3.75,3.25,3.12,3.25,1.62,1.0,0.38,0.0,1.25,1.88,1.38,0.38,1.38,0.38,2.5,3.5,3.12,3.38,3.62,3.5,3.5,3.38,0,0.3433303542406634,0.29960587839127584,0.3957241545833199,0.34622012907175304
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,4.5,4.0,4.12,4.12,3.88,3.25,4.25,3.88,3.0,4.12,3.12,4.12,3.5,3.75,3.12,3.0,4.12,3.0,1.62,0.38,0.0,0.75,2.62,1.75,0.0,1.0,0.0,2.88,4.0,3.75,3.75,3.5,3.75,3.12,3.12,0,0.31947075577045325,0.30461305461301436,0.3726296139431895,0.3322378081088857
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",4.0,4.0,3.88,4.0,2.0,0.62,3.75,3.5,2.75,3.0,3.5,3.75,4.12,4.0,2.88,3.38,3.38,1.25,0.38,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,3.75,2.5,2.5,3.38,1.62,0.75,3.12,0,0.4548729286629367,0.494074472189288,0.4777908389638412,0.47557941327202197
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.5,3.38,3.12,3.88,3.0,1.38,3.75,3.12,3.0,3.12,3.12,3.12,3.75,3.62,2.88,2.62,3.0,1.75,1.0,0.0,0.0,0.75,2.12,1.75,0.0,1.25,0.25,2.38,3.38,2.88,2.62,3.0,2.88,3.12,3.0,0,0.4660376128906023,0.4548920056982695,0.4882308816745784,0.4697201667544834
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.88,3.88,3.38,3.88,3.38,0.88,4.0,3.88,3.25,4.0,3.5,3.38,4.0,4.0,3.12,3.12,3.12,2.0,0.62,0.0,0.0,0.88,1.0,0.38,0.0,0.0,0.0,1.75,3.75,3.0,3.38,3.12,3.38,3.12,3.12,0,0.3940717070293829,0.41260215263230293,0.42830800288740534,0.41166062084969707
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.0,3.88,3.75,4.0,2.88,0.25,3.88,3.88,3.12,3.88,3.5,3.12,4.0,4.0,3.25,3.12,3.88,2.38,0.75,0.0,0.0,0.38,0.75,0.0,0.0,0.75,0.0,1.88,3.88,2.62,3.12,3.88,3.75,3.25,3.0,0,0.34545076946989184,0.33459385792167495,0.40045086672466823,0.36016516470541166
13-1032.00,"Insurance Appraisers, Auto Damage",3.62,3.88,3.25,3.75,2.75,0.25,3.75,3.0,1.5,2.88,3.0,2.88,2.88,2.88,2.0,3.0,2.88,1.38,0.5,0.62,0.0,0.5,2.25,2.0,0.75,1.5,0.88,2.25,3.12,2.12,2.38,3.0,1.62,0.88,2.12,1,0.6585529960491385,0.6988014979479544,0.6164674124964336,0.6579406354978422
13-1041.01,Environmental Compliance Inspectors,4.75,4.0,4.12,4.25,3.12,3.25,4.25,4.12,3.25,4.38,3.38,3.0,2.88,3.0,3.12,2.88,4.12,2.5,0.88,0.0,0.0,1.12,3.38,2.62,0.12,2.0,0.0,3.38,3.88,3.38,3.75,3.0,0.75,0.62,2.62,0,0.42540753565356226,0.39772323494619855,0.4510541637559271,0.424728311451896
13-1041.03,Equal Opportunity Representatives and Officers,4.75,4.62,4.38,4.25,2.75,0.75,4.5,4.0,3.38,3.88,4.12,3.25,4.0,3.62,3.38,3.38,3.62,1.88,0.88,0.12,0.0,1.5,1.25,0.12,0.0,0.0,0.0,1.25,3.75,3.25,3.5,3.0,0.38,0.38,2.0,0,0.4415663488286299,0.47896649959879767,0.45503576909754884,0.45852287250832546
13-1041.04,Government Property Inspectors and Investigators,4.25,4.12,4.0,4.12,3.12,1.25,4.12,3.38,3.12,4.12,3.25,3.38,3.5,3.25,3.25,3.12,3.38,1.25,0.75,0.0,0.0,1.25,3.0,2.5,0.0,1.12,0.0,3.25,4.0,3.38,3.38,3.12,1.5,1.88,2.88,0,0.4036372933660175,0.3491495896395804,0.44039248862515024,0.3977264572102494
13-1041.06,Coroners,4.25,4.12,4.12,4.12,2.5,3.75,4.12,3.75,3.0,3.5,4.0,3.25,2.62,2.5,3.0,3.25,3.25,0.62,0.62,0.62,0.0,0.5,2.0,2.0,0.0,0.75,0.0,1.62,3.75,2.88,2.38,3.0,0.75,1.38,2.88,0,0.4744288545208235,0.4462679011144388,0.4918401168698896,0.470845624168384
13-1041.07,Regulatory Affairs Specialists,4.75,4.0,4.12,4.12,2.88,1.12,4.25,3.88,3.0,3.75,3.25,3.88,3.75,3.25,3.0,3.0,3.88,2.62,1.0,0.0,0.0,1.38,1.75,0.0,0.0,0.0,0.0,2.0,4.12,4.0,3.88,3.38,1.88,1.38,3.0,0,0.42507482890661663,0.463817092828279,0.43984074966508047,0.4429108904666587
13-1041.08,Customs Brokers,4.0,4.0,3.88,4.0,3.0,0.0,3.88,3.62,3.0,3.62,3.0,3.12,3.0,3.12,3.0,3.0,3.12,0.75,0.88,0.0,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.25,3.0,3.0,3.0,3.12,2.62,2.5,3.0,1,0.5637664255221608,0.6725427773417891,0.5324783041555037,0.5895958356731512
13-1071.00,Human Resources Specialists,4.0,4.0,4.0,4.0,2.0,0.12,4.0,3.38,3.25,3.75,3.88,3.5,3.0,3.0,3.12,3.25,3.12,0.25,0.75,0.0,0.0,0.62,0.5,0.12,0.0,0.0,0.0,0.75,3.5,2.75,2.88,3.0,1.25,1.25,2.88,0,0.4620708505936477,0.48027818096084474,0.48752594724585663,0.4766249929334497
13-1075.00,Labor Relations Specialists,4.12,4.25,4.25,4.5,2.75,0.0,4.0,3.88,3.38,3.75,3.88,3.62,4.25,4.25,3.25,3.62,3.62,0.88,1.12,0.0,0.0,0.5,1.38,0.88,0.0,0.0,0.0,0.62,3.88,3.5,3.38,3.5,2.25,2.0,3.12,0,0.3231905962618953,0.29437196562679446,0.38412220328206104,0.3338949217235836
13-1081.00,Logisticians,4.12,4.12,3.75,4.0,3.38,0.88,4.12,3.5,3.5,4.62,3.62,4.25,3.62,3.5,3.0,3.38,3.88,4.0,0.75,0.0,0.0,1.75,1.62,0.12,0.0,0.0,0.0,2.25,4.0,3.88,3.88,3.75,2.25,2.62,3.75,0,0.3202571348015226,0.32482414954790784,0.37246739388015726,0.3391828927431959
13-1081.01,Logistics Engineers,4.38,4.12,4.12,4.0,4.0,2.88,4.25,3.88,3.5,3.88,3.5,3.62,3.12,2.88,3.0,3.0,4.0,3.75,2.25,1.12,0.0,2.25,2.62,0.75,0.75,2.12,0.75,2.88,4.0,4.25,4.12,3.88,2.88,2.88,3.62,0,0.35926950425277937,0.37732380498476914,0.39435193497570253,0.3769817480710837
13-1081.02,Logistics Analysts,4.0,4.0,4.0,3.38,3.75,0.75,4.12,3.75,3.0,4.0,3.0,3.12,2.88,2.88,2.88,2.88,4.0,2.62,1.75,0.0,0.0,1.75,2.0,0.0,0.0,0.5,0.0,2.25,4.0,4.0,3.88,3.38,2.5,2.25,2.88,1,0.4841621422146467,0.5506172139232604,0.47734749541938015,0.5040422838524291
13-1111.00,Management Analysts,4.12,4.12,4.0,4.0,3.25,1.88,4.12,3.75,3.5,4.0,3.75,3.62,3.5,3.0,3.38,3.0,4.0,4.12,0.62,0.25,0.0,0.88,0.62,0.0,0.0,0.25,0.0,0.62,4.12,4.0,4.0,3.12,1.0,1.88,3.0,0,0.424963714701903,0.4734852379006895,0.43964118505904537,0.4460300458872126
13-1131.00,Fundraisers,4.0,4.12,4.12,4.38,3.0,0.38,4.0,3.5,3.0,3.5,3.88,3.88,4.38,3.88,3.0,3.25,3.25,1.25,0.75,0.12,0.0,0.5,0.75,0.62,0.0,0.0,0.0,0.62,3.75,3.0,3.12,3.62,3.12,2.25,2.88,0,0.3886485156971844,0.3969593935898388,0.4245351589451616,0.40338102274406157
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",4.12,4.0,3.88,4.0,3.38,2.25,4.0,3.62,3.5,3.62,3.75,3.12,3.5,3.12,3.12,3.0,3.75,3.12,1.0,0.0,0.0,1.5,1.25,0.0,0.0,0.0,0.0,0.62,3.75,3.62,3.5,3.12,1.75,1.75,3.0,1,0.4838971200037889,0.5775102237682006,0.47555309347487196,0.5123201457489538
13-1151.00,Training and Development Specialists,4.25,4.12,4.25,4.25,2.62,2.0,4.0,3.75,4.88,4.25,4.12,4.0,3.25,3.38,4.25,3.88,3.12,3.88,0.75,0.12,0.0,0.38,0.88,0.0,0.0,0.0,0.0,1.38,3.88,3.25,3.5,3.75,2.75,2.25,3.25,0,0.24577362681361592,0.23128988423320607,0.33041045580989703,0.2691579889522397
13-1161.01,Search Marketing Strategists,4.12,4.0,3.75,3.75,2.88,0.25,3.88,3.88,3.0,3.75,3.25,3.62,3.62,3.12,3.12,3.0,4.12,2.25,2.25,0.0,0.0,2.12,1.88,0.0,0.0,0.25,0.0,1.5,3.75,3.75,3.75,3.5,2.0,1.88,3.0,0,0.4225867631130029,0.4724941875949966,0.44305906348216695,0.44604667139672216
