O*NET-SOC Code,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Change in Employment
13-1041,4.25,4.0,4.12,4.12,2.88,1.12,4.12,3.75,3.0,3.75,3.38,3.25,3.12,3.12,3.0,3.12,3.38,1.25,0.88,0.0,0.0,1.25,2.0,2.0,0.0,0.75,0.0,2.0,3.75,3.25,3.38,3.0,1.38,1.38,2.88,70630.0
13-1051,4.12,4.12,3.75,3.75,4.25,0.62,4.25,3.88,3.0,3.62,3.0,3.25,3.75,3.38,2.88,2.75,3.62,2.38,0.88,0.0,0.0,1.62,1.38,0.12,0.0,0.0,0.0,0.62,3.75,3.62,3.25,3.0,3.88,3.25,2.5,870.0
13-1071,4.0,4.0,4.0,4.0,2.0,0.12,4.0,3.38,3.25,3.75,3.88,3.5,3.0,3.0,3.12,3.25,3.12,0.25,0.75,0.0,0.0,0.62,0.5,0.12,0.0,0.0,0.0,0.75,3.5,2.75,2.88,3.0,1.25,1.25,2.88,176870.0
13-1074,2.88,3.12,2.75,3.38,2.12,0.38,3.25,2.38,2.12,2.62,3.0,3.38,2.88,3.0,2.88,2.62,2.75,0.5,0.0,0.25,0.0,0.5,2.38,2.38,0.0,1.12,0.0,1.38,2.75,2.0,1.62,3.38,1.88,1.62,3.38,-790.0
13-1075,4.12,4.25,4.25,4.5,2.75,0.0,4.0,3.88,3.38,3.75,3.88,3.62,4.25,4.25,3.25,3.62,3.62,0.88,1.12,0.0,0.0,0.5,1.38,0.88,0.0,0.0,0.0,0.62,3.88,3.5,3.38,3.5,2.25,2.0,3.12,-4200.0
13-1081,4.12,4.12,4.0,4.0,3.75,0.88,4.12,3.75,3.5,4.0,3.5,3.62,3.12,2.88,3.0,3.0,4.0,3.75,1.75,0.0,0.0,1.75,2.0,0.12,0.0,0.5,0.0,2.25,4.0,4.0,3.88,3.75,2.5,2.62,3.62,56380.0
13-1111,4.12,4.12,4.0,4.0,3.25,1.88,4.12,3.75,3.5,4.0,3.75,3.62,3.5,3.0,3.38,3.0,4.0,4.12,0.62,0.25,0.0,0.88,0.62,0.0,0.0,0.25,0.0,0.62,4.12,4.0,4.0,3.12,1.0,1.88,3.0,122300.0
13-1121,4.0,4.0,3.62,4.0,2.5,0.25,3.88,3.12,2.88,3.75,3.75,4.0,3.5,3.62,3.12,3.88,3.5,2.62,0.75,0.88,0.0,0.38,1.62,1.75,0.62,0.75,0.75,1.62,3.38,3.12,3.38,3.75,3.12,2.88,3.38,39670.0
13-1131,4.0,4.12,4.12,4.38,3.0,0.38,4.0,3.5,3.0,3.5,3.88,3.88,4.38,3.88,3.0,3.25,3.25,1.25,0.75,0.12,0.0,0.5,0.75,0.62,0.0,0.0,0.0,0.62,3.75,3.0,3.12,3.62,3.12,2.25,2.88,26430.0
13-1141,4.12,4.0,3.88,4.0,3.38,2.25,4.0,3.62,3.5,3.62,3.75,3.12,3.5,3.12,3.12,3.0,3.75,3.12,1.0,0.0,0.0,1.5,1.25,0.0,0.0,0.0,0.0,0.62,3.75,3.62,3.5,3.12,1.75,1.75,3.0,8330.0
13-1151,4.25,4.12,4.25,4.25,2.62,2.0,4.0,3.75,4.88,4.25,4.12,4.0,3.25,3.38,4.25,3.88,3.12,3.88,0.75,0.12,0.0,0.38,0.88,0.0,0.0,0.0,0.0,1.38,3.88,3.25,3.5,3.75,2.75,2.25,3.25,72950.0
13-1161,4.37,4.0,3.935,3.875,3.13,1.25,3.94,3.94,3.0,3.685,3.315,3.37,3.435,2.935,3.06,2.94,3.935,2.685,1.5,0.0,0.0,2.06,1.63,0.0,0.0,0.125,0.0,1.19,3.935,3.815,3.815,3.31,1.81,1.63,2.94,210340.0
13-2011,4.06,4.0,3.62,3.88,4.0,1.62,3.88,3.5,3.0,3.56,3.12,3.19,3.31,3.06,3.19,3.12,3.56,2.69,0.94,0.0,0.0,1.0,1.5,0.0,0.0,0.19,0.0,1.12,3.75,3.62,3.44,3.38,2.56,1.75,3.06,93390.0
13-2031,4.0,4.0,3.75,3.38,3.5,0.25,3.88,3.38,2.75,3.38,3.0,3.0,2.88,2.75,2.88,2.75,3.5,3.0,0.88,0.0,0.0,1.12,1.0,0.0,0.0,0.0,0.0,0.5,3.62,3.5,3.0,3.0,3.75,2.0,2.75,-5660.0
13-2041,4.0,4.0,3.88,4.0,4.12,0.38,4.0,3.62,2.5,3.0,2.88,2.5,2.5,2.75,2.38,3.0,3.0,2.38,0.0,0.0,0.0,1.0,1.0,0.25,0.0,0.0,0.0,0.75,3.75,3.0,3.12,3.0,1.88,0.88,1.88,4540.0
13-2052,4.0,4.0,4.0,4.0,3.88,1.25,4.12,3.25,3.0,3.62,3.5,2.88,3.62,3.0,3.0,3.88,3.88,2.5,0.75,0.0,0.0,1.0,1.12,0.0,0.0,0.0,0.0,1.0,3.88,3.5,3.38,3.12,3.12,1.25,2.25,13700.0
13-2053,3.75,4.0,3.75,3.62,2.88,0.38,3.88,3.38,3.0,3.0,3.0,2.88,2.75,2.88,2.62,3.0,3.12,1.75,0.62,0.0,0.0,0.75,0.88,0.0,0.0,0.0,0.0,0.12,3.5,3.0,3.0,2.88,1.12,1.0,2.25,8330.0
13-2061,4.25,4.12,4.0,4.12,3.88,0.25,4.5,4.12,3.88,4.25,3.62,3.62,3.12,3.0,3.75,3.0,4.0,3.0,0.38,0.0,0.0,1.0,1.25,0.25,0.0,0.0,0.0,1.88,4.12,3.88,4.0,3.75,0.75,0.62,3.75,27720.0
13-2071,3.88,4.0,3.75,4.0,3.0,0.0,3.88,3.5,3.12,3.0,3.62,3.12,3.5,3.25,3.0,3.5,3.25,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,3.25,3.0,2.75,3.12,0.75,0.25,2.62,2510.0
13-2072,4.0,4.0,3.88,4.0,3.12,0.0,4.0,3.12,2.62,3.0,3.0,3.0,3.0,3.0,2.75,3.5,3.12,1.38,0.88,0.0,0.0,0.88,0.88,0.38,0.0,0.0,0.0,0.62,3.88,2.38,2.25,3.25,1.25,1.12,2.88,7790.0
13-2081,4.12,4.0,3.25,3.75,3.25,0.0,3.62,3.62,3.0,2.88,3.0,3.0,3.12,3.0,2.75,3.0,3.0,1.5,0.5,0.0,0.0,0.88,0.75,0.12,0.0,0.0,0.0,1.12,3.38,2.38,2.5,2.75,1.38,0.75,1.88,-9880.0
13-2082,4.0,4.0,3.0,3.5,3.25,0.0,3.62,3.12,3.0,3.0,2.88,2.88,2.5,2.62,3.0,3.12,3.0,0.88,0.5,0.0,0.0,0.62,0.38,0.0,0.0,0.0,0.0,1.12,3.0,2.75,2.25,3.0,0.88,0.5,1.75,-1920.0
15-2011,4.62,4.12,4.0,4.0,4.88,2.0,4.75,4.12,3.5,3.62,2.88,3.0,3.62,3.12,3.5,3.12,4.62,3.38,1.0,0.0,0.0,2.75,1.25,0.0,0.0,0.0,0.0,1.75,4.75,4.5,4.5,3.5,3.38,2.25,2.88,770.0
15-2021,5.0,4.12,4.5,4.25,6.0,4.62,5.12,5.25,3.75,3.0,2.75,2.75,2.5,1.75,3.75,1.75,4.88,2.62,0.75,0.0,0.0,2.62,0.75,0.0,0.0,0.0,0.0,0.5,4.25,3.88,3.5,2.75,0.75,0.75,1.75,-500.0
15-2031,4.38,4.0,4.0,4.0,4.75,3.12,4.38,4.12,3.12,3.0,3.0,2.88,2.88,2.62,3.12,2.5,4.38,4.38,1.38,0.12,0.0,2.75,0.62,0.0,0.0,0.38,0.0,1.62,4.25,4.0,4.38,3.0,1.38,0.88,2.62,12730.0
15-2041,5.0,4.0649999999999995,4.63,4.375,5.4350000000000005,4.3100000000000005,4.88,4.38,3.5,3.37,2.815,2.94,2.815,2.125,3.56,2.315,4.3100000000000005,3.44,0.875,0.31,0.0,3.81,0.815,0.185,0.0,0.0,0.0,1.185,4.13,3.5,3.435,3.19,1.25,1.0,2.75,12120.0
17-1011,4.75,4.25,4.12,4.0,4.12,3.0,4.5,4.12,3.12,4.38,3.25,4.0,3.5,3.5,2.88,3.38,4.25,4.38,2.0,0.25,0.0,1.25,2.0,1.75,0.0,1.5,0.0,3.25,4.5,3.62,3.75,3.62,3.38,3.0,3.5,16950.0
17-1012,4.0,4.0,3.88,4.0,3.12,2.88,3.88,3.75,3.0,3.5,3.88,3.88,3.5,3.0,3.0,3.12,3.75,3.75,1.12,0.0,0.0,0.75,2.0,1.62,0.0,1.12,0.0,2.12,3.75,3.38,3.75,3.75,2.88,2.88,3.12,2170.0
17-1021,4.12,3.5,3.62,3.12,3.12,1.5,3.75,3.38,3.0,3.12,2.88,3.0,2.12,2.12,3.0,2.75,3.12,0.75,0.75,1.0,0.0,1.12,1.75,0.38,0.5,1.38,0.38,2.12,3.12,2.88,2.75,3.12,0.75,0.62,2.12,-310.0
17-1022,4.1899999999999995,3.94,3.935,3.88,4.375,3.25,4.0,3.63,3.5,3.69,2.875,3.435,2.63,2.565,3.435,2.56,3.565,1.815,1.125,2.25,0.0,2.25,2.75,2.685,1.685,1.75,1.62,2.94,3.435,3.125,3.125,3.56,1.69,1.88,3.625,3250.0
17-2011,5.0,4.12,4.5,4.25,4.75,5.12,4.62,3.88,3.75,3.88,3.12,3.5,3.12,3.0,3.25,2.75,4.25,5.0,3.75,0.38,0.0,1.75,3.0,0.62,0.0,2.5,0.0,3.88,3.88,4.0,3.88,3.5,1.38,1.0,3.0,-5880.0
17-2021,4.62,4.0,4.25,4.0,4.0,3.38,4.25,3.88,3.12,3.75,3.25,3.25,3.12,3.0,3.25,3.0,4.38,3.25,3.0,1.38,0.0,1.62,3.25,2.25,0.88,2.12,0.75,2.5,4.0,3.88,3.88,3.62,2.38,2.62,3.0,-900.0
17-2031,5.12,4.38,4.25,4.38,4.62,4.62,4.75,4.75,4.12,4.12,3.5,3.5,3.5,3.0,4.0,3.12,4.62,4.38,4.0,2.75,2.88,3.5,3.38,2.0,2.88,3.38,2.62,3.75,4.75,3.88,4.0,3.62,2.25,2.88,3.25,-300.0
17-2041,4.38,4.0,3.88,3.88,4.62,5.12,4.88,4.5,3.62,3.88,3.12,3.62,3.12,3.0,3.38,3.0,4.38,4.5,3.12,2.38,0.0,2.88,3.5,1.62,0.0,3.5,0.0,3.62,4.5,4.0,4.25,3.75,2.75,2.88,3.5,-3350.0
17-2051,4.38,4.0,3.88,4.0,4.62,4.0,4.12,4.0,3.62,3.88,3.0,3.75,3.25,3.0,3.12,3.0,4.12,4.0,2.75,0.5,0.0,2.5,2.12,1.12,0.0,2.12,0.0,3.0,4.12,4.12,4.0,3.88,3.38,3.0,3.5,47390.0
17-2061,4.5,3.88,4.12,4.0,3.38,3.25,4.12,4.12,3.12,3.25,2.75,3.12,2.75,2.12,3.5,2.75,4.12,4.0,2.75,2.75,1.12,2.75,3.0,0.75,2.12,3.12,2.12,3.0,3.88,3.5,4.0,3.0,1.25,1.5,2.62,-8480.0
17-2071,4.25,4.0,3.88,3.75,4.0,3.5,4.0,3.38,3.0,3.5,3.12,3.25,2.88,2.88,3.0,3.0,3.75,3.25,2.0,1.88,0.12,1.5,3.0,0.12,2.0,3.0,2.38,2.88,3.25,3.25,3.38,3.25,2.5,2.62,3.0,11020.0
17-2072,4.0600000000000005,3.81,3.81,3.81,3.5,2.5,3.94,3.625,3.185,3.685,3.06,3.315,3.19,2.935,3.31,2.94,3.87,3.19,3.12,2.75,1.435,2.75,3.19,2.685,2.5,3.06,2.625,3.375,3.44,3.69,3.625,2.94,2.06,2.19,2.815,-5190.0
17-2081,4.62,4.12,4.12,4.25,4.0,3.62,4.25,4.12,3.12,4.25,3.25,4.0,3.38,3.25,3.12,2.75,4.12,2.38,0.75,0.0,0.0,1.12,2.88,1.75,0.0,1.5,0.0,2.88,4.25,3.88,4.0,3.88,2.38,2.38,3.0,-90.0
17-2111,4.279999999999999,4.095000000000001,4.0600000000000005,4.0600000000000005,3.215,3.88,4.155,3.88,3.41,3.63,3.0949999999999998,3.125,3.12,2.94,3.2800000000000002,2.935,3.9050000000000002,3.81,2.4699999999999998,1.095,0.5,1.56,2.9699999999999998,1.91,0.0,2.685,0.0,3.375,3.94,3.69,3.75,3.41,1.88,2.0949999999999998,2.815,1330.0
17-2112,4.625,4.12,4.1850000000000005,4.12,3.94,3.435,4.12,4.0649999999999995,3.31,4.1850000000000005,3.25,3.31,2.94,2.815,3.435,2.88,4.12,3.815,2.815,0.94,0.0,1.75,3.0,2.185,0.31,2.185,0.125,3.06,4.125,3.75,3.94,3.06,2.0,2.31,2.88,54720.0
17-2121,4.75,4.0,4.0,4.0,4.81,4.37,4.38,4.44,3.0,4.0,3.12,3.56,3.31,3.12,3.31,2.94,4.19,4.38,3.06,1.12,0.44,1.81,3.38,1.69,1.06,3.31,1.19,3.81,4.31,3.75,3.69,3.5,2.56,2.44,3.25,3790.0
17-2131,4.75,4.12,4.38,4.12,4.0,4.75,4.25,4.5,3.62,3.88,3.12,3.25,3.12,3.12,3.88,3.0,4.0,4.0,2.88,1.88,0.0,1.75,3.12,2.0,0.88,2.0,1.0,3.62,3.88,3.75,3.5,3.12,2.62,2.75,3.12,1830.0
17-2141,4.75,4.0,4.0,3.88,4.88,4.12,4.25,4.38,3.25,4.0,2.88,3.5,3.25,2.88,3.62,2.88,4.38,4.25,3.62,2.5,0.88,2.38,3.5,2.38,1.62,3.12,1.75,3.75,4.12,4.0,4.0,3.5,2.25,2.88,3.12,36290.0
17-2151,4.75,4.0,4.25,4.12,4.62,4.0,4.5,4.12,3.38,4.5,3.25,3.75,3.38,3.25,3.5,2.62,4.38,4.12,2.88,2.5,0.0,3.0,3.38,2.0,0.0,1.88,0.0,3.5,4.62,4.0,4.25,3.88,3.75,3.25,3.62,-1920.0
17-2161,4.75,4.38,4.62,4.0,4.25,4.38,4.75,4.12,3.25,4.0,3.38,3.62,3.0,3.0,3.12,2.88,4.38,4.62,2.75,1.0,0.0,1.12,4.0,2.12,1.0,2.88,1.0,3.5,3.88,3.88,3.88,3.5,1.88,2.25,3.0,-670.0
17-2171,4.75,4.0,4.25,4.0,4.0,4.0,4.38,3.88,3.0,3.88,3.62,3.75,3.12,3.38,3.0,3.0,4.12,1.75,2.25,1.0,0.88,1.12,3.12,2.0,0.25,2.0,0.0,2.62,3.88,3.88,3.88,3.75,2.5,2.88,3.5,-1120.0
17-2199,4.75,3.94,3.94,3.94,4.3100000000000005,3.815,4.3100000000000005,3.88,3.315,3.815,3.185,3.315,3.0,2.88,3.38,2.88,4.0600000000000005,3.75,3.12,2.19,0.125,2.25,3.19,2.5,1.75,2.38,1.815,3.5,4.0,3.94,3.75,3.5,2.185,2.25,3.0,27770.0
17-3011,3.81,3.38,3.31,3.31,3.81,2.0,3.69,3.13,2.94,3.31,2.88,3.12,2.56,2.44,2.88,2.5,3.25,2.94,1.0,0.56,0.0,1.44,2.06,0.56,0.0,0.62,0.0,2.81,3.31,3.12,2.94,3.0,1.37,1.31,2.75,7280.0
17-3012,3.75,3.75,3.37,3.19,3.0,1.56,3.5,3.12,2.63,2.88,2.75,2.94,2.75,2.13,2.81,2.38,3.12,3.0,1.06,0.63,0.0,1.0,1.31,0.75,0.0,0.56,0.0,1.81,2.94,3.0,2.88,2.94,0.43,0.62,2.31,-5250.0
17-3013,3.88,3.5,3.12,3.75,3.88,1.75,3.25,3.62,2.88,3.12,3.0,3.0,2.25,2.25,3.12,2.38,3.12,3.12,2.75,0.38,0.0,2.25,2.25,0.5,0.0,1.88,0.0,3.12,3.0,2.88,3.0,3.0,1.12,1.25,2.38,-8860.0
17-3021,3.75,3.88,3.12,3.12,3.0,3.75,4.0,3.0,2.88,3.12,3.0,2.88,2.88,2.62,3.0,2.75,3.38,2.75,1.38,2.38,1.88,1.62,3.5,2.88,3.38,3.12,3.0,3.62,3.25,3.12,3.12,3.25,1.62,1.62,2.75,310.0
17-3022,4.12,4.0,3.5,3.5,3.38,2.62,3.62,3.0,2.62,3.38,2.88,3.0,2.38,2.75,2.38,2.62,3.25,3.0,0.75,0.25,0.0,1.0,2.38,2.0,0.0,0.88,0.0,2.0,3.12,3.0,2.75,2.88,1.62,2.0,2.25,-2430.0
17-3023,4.04,3.56,3.31,3.34,3.5,2.94,3.79,3.38,2.88,3.47,2.81,3.16,2.87,2.44,3.22,2.72,3.5,2.62,2.5,3.0,2.0,1.88,3.34,2.94,3.0,3.53,3.09,3.44,3.34,3.06,3.12,3.09,1.59,1.97,2.81,-14490.0
17-3024,3.94,3.5,3.25,3.185,3.315,3.065,3.875,3.31,3.06,3.625,2.935,3.06,2.435,2.125,3.06,2.69,3.37,2.25,2.0,3.125,3.185,2.375,3.94,3.62,3.88,3.94,3.875,3.88,3.12,3.06,3.125,2.94,1.125,1.315,2.63,-140.0
17-3025,4.0,4.0,3.88,4.0,3.75,3.75,4.0,3.88,3.0,3.75,3.0,3.0,2.88,2.75,2.88,2.88,3.38,3.0,1.88,2.25,0.0,2.0,3.12,2.75,2.0,2.62,2.25,3.38,3.62,3.0,3.0,3.12,2.12,2.75,3.0,-70.0
